node_id,design_variant,material,load_case,component_zone,von_mises_stress_MPa,displacement_mm,safety_factor,yield_strength_MPa,mesh_size_mm,simulation_time_sec,simulation_date,analyst,failure_risk,stress_ratio,perf_score
1,Variant_B,Titanium,Fatigue,Rib_Section,103.45,0.805,8.5065,880,2.7,2186.9,2024-11-14 23:09:00,Alice,Low,0.1176,0.8697
2,Variant_B,Cast_Iron,Dynamic,Mounting_Hole,328.218,0.3972,0.6094,200,2.04,780.7,2024-06-14 00:00:00,Alice,High,1.6411,0.0244
3,Variant_B,Steel,Static,Weld_Joint,147.914,4.4562,1.6902,250,2.96,1310.3,2024-05-05 01:30:00,Carlos,Medium,0.5917,0.3126
4,Variant_C,Cast_Iron,Static,Rib_Section,84.476,7.0922,2.3675,200,1.73,198.5,2024-10-22 20:48:00,Bob,Medium,0.4224,0.4413
5,Variant_B,Cast_Iron,Static,Weld_Joint,189.235,3.9216,1.0569,200,3.78,1658.3,2024-05-01 23:38:00,Diana,High,0.9462,0.0746
6,Variant_D,Cast_Iron,Dynamic,Bracket_Arm,131.892,2.8349,1.5164,200,4.98,1752.4,2024-04-17 17:03:00,Alice,Medium,0.6595,0.265
7,Variant_B,Titanium,Static,Mounting_Hole,258.695,4.2498,3.4017,880,1.77,395.7,2024-11-15 10:37:00,Diana,Low,0.294,0.5597
8,Variant_B,Aluminum,Fatigue,Mounting_Hole,265.591,3.5238,1.0166,270,2.0,2519.5,2024-01-28 02:19:00,Bob,High,0.9837,0.0504
9,Variant_A,Steel,Dynamic,Bracket_Arm,131.731,7.2342,1.8978,250,4.11,1273.3,2024-10-24 08:02:00,Alice,Medium,0.5269,0.3598
10,Variant_C,Cast_Iron,Static,Weld_Joint,130.66,6.4212,1.5307,200,2.02,1248.2,2024-01-14 06:10:00,Carlos,Medium,0.6533,0.2692
11,Variant_C,Cast_Iron,Dynamic,Bracket_Arm,21.87,1.1338,9.1449,200,2.13,2588.4,2024-03-30 19:44:00,Alice,Low,0.1094,0.9002
12,Variant_A,Steel,Fatigue,Base_Plate,72.788,6.7106,3.4346,250,2.63,2367.5,2024-09-20 03:13:00,Carlos,Low,0.2912,0.5627
13,Variant_B,Steel,Fatigue,Weld_Joint,182.901,1.2297,1.3669,250,3.43,2995.2,2024-07-06 00:00:00,Diana,High,0.7316,0.2157
14,Variant_C,Steel,Static,Base_Plate,57.996,0.2218,4.3106,250,2.71,2121.2,2024-09-01 16:58:00,Bob,Low,0.232,0.6332
15,Variant_D,Steel,Fatigue,Weld_Joint,151.492,1.137,1.6503,250,3.78,2961.3,2024-10-25 15:59:00,Carlos,Medium,0.606,0.3024
16,Variant_C,Aluminum,Dynamic,Weld_Joint,216.867,4.8721,1.245,270,1.51,1277.7,2024-10-25 21:09:00,Carlos,High,0.8032,0.1679
17,Variant_C,Aluminum,Static,Rib_Section,121.731,6.3168,2.218,270,2.98,1930.4,2024-01-02 03:35:00,Carlos,Medium,0.4509,0.4182
18,Variant_A,Cast_Iron,Static,Base_Plate,46.842,4.4288,4.2697,200,4.53,2345.9,2024-03-19 00:39:00,Alice,Low,0.2342,0.6303
19,Variant_A,Aluminum,Static,Bracket_Arm,128.88,3.9041,2.095,270,2.33,2261.6,2024-10-20 18:10:00,Bob,Medium,0.4773,0.3974
20,Variant_D,Aluminum,Fatigue,Mounting_Hole,253.475,5.3754,1.0652,270,2.54,45.6,2024-04-27 03:20:00,Bob,High,0.9388,0.0793
21,Variant_B,Aluminum,Dynamic,Mounting_Hole,224.92,3.5352,1.2004,270,3.04,2587.8,2024-10-10 15:02:00,Carlos,High,0.833,0.1482
22,Variant_C,Cast_Iron,Fatigue,Base_Plate,39.529,7.9854,5.0596,200,1.03,2976.7,2024-04-21 13:03:00,Alice,Low,0.1976,0.6838
23,Variant_C,Aluminum,Static,Mounting_Hole,146.347,4.1513,1.8449,270,2.91,3341.7,2024-02-02 22:58:00,Bob,Medium,0.542,0.3486
24,Variant_B,Aluminum,Dynamic,Rib_Section,97.6,1.6827,2.7664,270,3.23,1352.6,2024-12-12 23:57:00,Bob,Low,0.3615,0.4938
25,Variant_B,Cast_Iron,Dynamic,Bracket_Arm,189.016,3.6196,1.0581,200,2.09,2124.2,2024-07-04 03:43:00,,High,0.9451,0.0753
26,Variant_A,Cast_Iron,Fatigue,Base_Plate,72.717,2.375,2.7504,200,3.02,1194.5,2024-03-10 15:31:00,Alice,Low,0.3636,0.4919
27,Variant_B,Titanium,Dynamic,Bracket_Arm,160.829,2.7064,5.4717,880,1.92,94.5,2024-02-12 09:38:00,Diana,Low,0.1828,0.7092
28,Variant_A,Aluminum,Dynamic,Mounting_Hole,212.45,7.7117,1.2709,270,3.33,2320.4,2024-07-20 04:08:00,Carlos,High,0.7869,0.1787
29,Variant_A,Titanium,Fatigue,Base_Plate,51.13,4.6391,17.211,880,4.06,239.3,2024-12-08 09:13:00,Alice,Low,0.0581,0.9651
30,Variant_B,Titanium,Dynamic,Rib_Section,156.574,4.0084,5.6203,880,1.58,1977.3,2024-09-19 23:01:00,Carlos,Low,0.1779,0.7181
31,Variant_D,Cast_Iron,Static,Weld_Joint,156.676,0.0857,1.2765,200,5.69,43.0,2024-11-09 08:07:00,Alice,High,0.7834,0.181
32,Variant_A,Aluminum,Static,Mounting_Hole,236.368,4.129,1.1423,270,4.17,1687.7,2024-04-04 23:42:00,Carlos,High,0.8754,0.1205
33,Variant_A,Steel,Fatigue,Base_Plate,108.759,5.8871,2.2987,250,2.79,2937.5,2024-11-05 04:06:00,Diana,Medium,0.435,0.4309
34,Variant_A,Aluminum,Dynamic,Bracket_Arm,110.466,4.4468,2.4442,270,2.46,1913.5,2024-06-09 10:41:00,,Medium,0.4091,0.4523
35,Variant_B,Aluminum,Static,Bracket_Arm,111.651,4.4596,2.4182,270,2.12,2839.8,2024-10-19 06:37:00,Alice,Medium,0.4135,0.4486
36,Variant_D,Aluminum,Static,Bracket_Arm,141.465,3.95355,1.9086,270,3.79,1222.9,2024-10-24 17:43:00,Bob,Medium,0.5239,0.362
37,Variant_C,Steel,Dynamic,Rib_Section,101.424,3.2112,2.4649,250,1.0,2550.6,2024-01-15 23:29:00,Carlos,Medium,0.4057,0.4552
38,Variant_B,Aluminum,Fatigue,Rib_Section,67.422,3.6112,4.0046,270,3.44,1254.1,2024-05-10 12:02:00,Alice,Low,0.2497,0.6104
39,Variant_B,Titanium,Fatigue,Base_Plate,84.975,3.7112,10.356,880,3.68,1186.5,2024-07-18 16:04:00,Bob,Low,0.0966,0.942
40,Variant_C,Cast_Iron,Dynamic,Weld_Joint,231.982,3.7273500000000004,0.8621,200,1.26,2612.6,2024-11-02 01:56:00,Diana,High,1.1599,0.0345
41,Variant_A,Steel,Fatigue,Mounting_Hole,186.858,2.4409,1.3379,250,3.12,1903.4,2024-05-05 07:08:00,Alice,High,0.7474,0.2051
42,Variant_B,Titanium,Static,Mounting_Hole,196.992,3.2967,4.4672,880,2.87,898.8,2024-12-24 07:42:00,,Low,0.2239,0.6443
43,Variant_C,Cast_Iron,Static,Weld_Joint,171.765,7.0978,1.1644,200,2.27,2814.2,2024-07-04 09:15:00,Alice,High,0.8588,0.1313
44,Variant_C,Aluminum,Fatigue,Weld_Joint,101.941,6.8335,2.6486,270,1.75,2070.8,2024-10-20 11:08:00,Carlos,Low,0.3776,0.4794
45,Variant_A,Titanium,Fatigue,Rib_Section,67.301,3.1376,13.0756,880,2.01,3564.0,2024-09-10 00:55:00,Diana,Low,0.0765,0.9541
46,Variant_A,Cast_Iron,Dynamic,Mounting_Hole,250.818,4.9938,0.7974,200,4.45,50.1,2024-12-19 11:08:00,Diana,High,1.2541,0.0319
47,Variant_A,Aluminum,Fatigue,Weld_Joint,83.954,6.2675,3.216,270,4.72,467.3,2024-02-13 21:22:00,Diana,Low,0.3109,0.5421
