node_id,design_variant,material,load_case,component_zone,von_mises_stress_MPa,displacement_mm,safety_factor,yield_strength_MPa,mesh_size_mm,simulation_time_sec,simulation_date,analyst
739,Variant_B,Titanum,Fatigue,Rib_Section,103.45,0.805,8.5065,880,2.7,2186.9,2024-11-14 23:09:00,Alice
318,Variant_B,cast_iron,Static,Bracket_Arm,-50.0,2.4154,1.9321,200,3.12,1824.4,2024-06-02 22:09:00,Diana
693,Variant_B,Cast_Iron,Dynamic,Mounting_Hole,328.218,0.3972,0.6094,200,2.04,780.7,14/06/2024,Alice
425,Variant_B,Steel,STATIC,Weld_Joint,147.914,4.4562,1.6902,250,2.96,1310.3,2024-05-05 01:30:00,Carlos
470,Variant_C,castiron,Static,Rib_Section,84.476,7.0922,2.3675,200,1.73,198.5,2024-10-22 20:48:00,Bob
1101,Variant_D,Titanium,FATIGUE,Rib_Section,,0.3318,8.4956,880,5.73,1409.5,2024-11-21 13:28:00,Diana
1233,Variant_B,Cast_Iron,STATIC,Weld_Joint,189.235,3.9216,1.0569,200,3.78,1658.3,2024-05-01 23:38:00,Diana
1075,Variant_D,CAST_IRON,Dynamic,Bracket_Arm,131.892,2.8349,1.5164,200,4.98,1752.4,2024-04-17 17:03:00,Alice
1981,Variant_B,titan,Static,Mounting_Hole,258.695,4.2498,3.4017,880,1.77,395.7,2024-11-15 10:37:00,Diana
1727,Variant_B,ALUMINUM,Fatigue,Mounting_Hole,265.591,3.5238,1.0166,270,2.0,2519.5,2024-01-28 02:19:00,Bob
56,Variant_A,steel,Dyn,Bracket_Arm,131.731,7.2342,1.8978,250,4.11,1273.3,2024-10-24 08:02:00,Alice
1625,Variant_A,Titanum,Dynamic,Rib_Section,,7.6725,8.4652,880,4.24,1869.5,2024-11-18 14:47:00,Diana
477,Variant_C,castiron,STATIC,Weld_Joint,130.66,6.4212,1.5307,200,2.02,1248.2,2024-01-14 06:10:00,Carlos
879,Variant_C,Cast_Iron,dyn.,Bracket_Arm,21.87,1.1338,9.1449,200,2.13,2588.4,2024-03-30 19:44:00,Alice
0,Variant_D,Aluminum,stat.,N/A,85.081,0.0010152000000000002,3.1734,270,5.55,2133.9,2024-07-15 11:53:00,Diana
801,Variant_A, Steel,Fatigue,Base_Plate,72.788,6.7106,3.4346,250,2.63,2367.5,2024-09-20 03:13:00,Carlos
1231,Variant_B,Steel,Fatigue,Weld_Joint,182.901,1.2297,1.3669,250,3.43,2995.2,07/06/2024,Diana
36,Variant_C,Steel,Static,Base_Plate,57.996,0.2218,4.3106,250,2.71,2121.2,2024-09-01 16:58:00,Bob
1571,Variant_D,Steel,fatiq,Weld_Joint,151.492,1.137,1.6503,250,3.78,2961.3,2024-10-25 15:59:00,Carlos
204,Variant_C,ALUMINUM,Dynamic,Weld_Joint,216.867,4.8721,1.245,270,1.51,1277.7,2024-10-25 21:09:00,Carlos
1107,Variant_C,Aluminum,Static,Rib_Section,121.731,6.3168,2.218,270,2.98,1930.4,2024-01-02 03:35:00,Carlos
1457,Variant_A,Cast_Iron,static,Base_Plate,46.842,4.4288,4.2697,200,4.53,2345.9,2024-03-19 00:39:00,Alice
616,Variant_A,ALUM,Stat,Bracket_Arm,128.88 MPa,3.9041,2.095,270,2.33,2261.6,2024-10-20 18:10:00,Bob
887,Variant_D,ALUMINUM,Fatigue,Mounting_Hole,253.475,5.3754,1.0652,270,2.54,45.6,2024-04-27 03:20:00,Bob
935,Variant_B,aluminum,Dynamic,Mounting_Hole,224.92,3.5352,1.2004,270,3.04,2587.8,2024-10-10 15:02:00,Carlos
1601,Variant_C,Cast_Iron,Fatigue,Base_Plate,39.529,7.9854,5.0596,200,1.03,2976.7,2024-04-21 13:03:00,Alice
1299,Variant_C,aluminum,static,Mounting_Hole,146.347,4.1513,1.8449,270,2.91,3341.7,2024-02-02 22:58:00,Bob
61,Variant_B,Aluminum,Dynamic,Rib_Section,97.6 MPa,1.6827,2.7664,270,3.23,1352.6,2024-12-12 23:57:00,Bob
157,Variant_B,C.Iron,Dynamic,Bracket_Arm,189.016,3.6196,1.0581,200,2.09,2124.2,2024-07-04 03:43:00,
1324,Variant_A,Cast Iron,Fatigue,Base_Plate,72.717,2.375,2.7504,200,3.02,1194.5,2024-03-10 15:31:00,Alice
